Algorithm,Mean Fitness,Std Dev Fitness,Mean Exec Time (s),Overall Best Fitness,Mutation Op,Crossover Op,Selection Op
Hill Climbing (MP-30 runs),0.06046029978432962,0.012412733764670348,0.6262450059254964,0.05714285714285552,N/A,N/A,N/A
Simulated Annealing (MP-30 runs),0.06046029978432962,0.012412733764670347,18.214524626731873,0.05714285714285552,N/A,N/A,N/A
GA: GA_Config_1_SwapConst1PtPreferVTournVarK (MP-30 runs),0.0687539063880148,0.02104681409616877,5.969793407122294,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k
GA: GA_Config_4_TargetExchUnifPreferVTournVarK_k5 (MP-30 runs),0.06046029978432962,0.012412733764670347,8.29832767645518,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k
